Path.Component	Process	Path	Component	Path2	Component2	Path_Order	Component_Order	Orig_Order
SCFA.and.alcohol.conversions..pyruvate....acetyl.CoA.v2	Other	SCFA and alcohol conversions	pyruvate => acetyl CoA v2	"Acids, alcohols"	pyruvate=>acetyl CoA v2	7	2	93
SCFA.and.alcohol.conversions..pyruvate....acetylCoA.f..formate.v3	Other	SCFA and alcohol conversions	pyruvate => acetylCoA f+ formate v3	"Acids, alcohols"	pyruvate=>acetyl CoA + formate	7	3	94
SCFA.and.alcohol.conversions..acetate..pt.1	Other	SCFA and alcohol conversions	"acetate, pt 1"	"Acids, alcohols"	"acetate, pt 1"	7	4	87
SCFA.and.alcohol.conversions..acetate..pt.2	Other	SCFA and alcohol conversions	"acetate, pt 2"	"Acids, alcohols"	"acetate, pt 2"	7	5	88
SCFA.and.alcohol.conversions..acetate..pt.3	Other	SCFA and alcohol conversions	"acetate, pt 3"	"Acids, alcohols"	"acetate, pt 3"	7	6	89
SCFA.and.alcohol.conversions..lactate.L	Other	SCFA and alcohol conversions	lactate L	"Acids, alcohols"	lactate L	7	7	91
SCFA.and.alcohol.conversions..lactate.D	Other	SCFA and alcohol conversions	lactate D	"Acids, alcohols"	lactate D	7	8	90
SCFA.and.alcohol.conversions..Butyrate..pt.1	Other	SCFA and alcohol conversions	"Butyrate, pt 1"	"Acids, alcohols"	"Butyrate, pt 1"	7	9	83
SCFA.and.alcohol.conversions..Butyrate..pt.2	Other	SCFA and alcohol conversions	"Butyrate, pt 2"	"Acids, alcohols"	"Butyrate, pt 2"	7	10	84
SCFA.and.alcohol.conversions..Propionate..pt.1	Other	SCFA and alcohol conversions	"Propionate, pt 1"	"Acids, alcohols"	"Propionate, pt 1"	7	11	85
SCFA.and.alcohol.conversions..Propionate..pt.2	Other	SCFA and alcohol conversions	"Propionate, pt 2"	"Acids, alcohols"	"Propionate, pt 2"	7	12	86
SCFA.and.alcohol.conversions..Alcohol.production	Other	SCFA and alcohol conversions	Alcohol production	"Acids, alcohols"	Alcohol production	7	13	82
